Rank,Clan Name,Score,Leader Name
1,KannaCult,1180857846,TearGrants
2,SarenCult,1168710567,☆ Huggy
3,ArisaCult,1163979338,Halcyon
4,のです Void,1150259229,Phoenix~
5,メガ MILKERS,1148400135,baeck
6,Aria,1129870364,Tomo
7,Oasis,1111672942,Miyuki
8,Ethereal,1108391738,Pang
9,Weepo,1098935215,peng
10,Imanity,1088996751,RIP Tobi
11,Stama Cult,1082138147,Umaru
12,WeLoveTim5,1079049061,Ω Shiraori
13,WeLoveTim2,1075322467,Serecola
14,Leocult,1071373885,LeonidasII
15,kusa boys,1063311820,TFG
16,WeLoveTim3,1056024244,Shyrel
17,Royalty,1054474994,Ashevish~
18,Schwarz,1054163211,Poke
19,Eternum,1052451552,Jester
20,FuwaFuwa,1050600132,Chiyo
21,MQH,1045756931,Ace
22,Twilight,1044802336,Chio
23,CafeQuanta,1026893700,Kyarudell
24,Midnight,1022625229,Lock
25,Haunted,1019400674,Venom
26,WeLoveTim,1018941263,Zyf
27,WeLoveTim6,1013576541,HornyKitty
28,YukariCult,986225513,J-Klump
29,Ever Tale,985582783,Amai
30,WeLoveTim4,984988736,Not Peko
31,WeHateCB8,984684170,ad1
32,日本酒,984444512,臥室裡的琉璃在打炮
33,Salivation,980423900,Muse
34,Falkonne,978747357,Sparrow 狐
35,KyaruEel,975128690,Bk
36,MasterMr’s,969280937,SpOmChaErk
37,Zero,968209603,Asariel
38,ClubCosmos,967483816,Silfrash
39,AEGISEoG,967325753,Racter
40,AtelierCT,967215028,Kurogane
41,France,959534456,Hikyon
42,Nyapolitan,956509316,Sashandra
43,Waifufans,951359902,elmoebuta
44,EoS,933274748,Raven
45,Wicked Fox,928250343,Xhian
46,「Onigiri」,920776246,Nyan'sKid
47,Origin,918189860,TS
48,PrincessLa,916485012,Peloncho
49,Akukin,914208274,MadHatter
50,Nousagis,908518527,Renne
51,Kokko Club,902619464,Rasec
52,Stealers,894983921,narzack~
53,SarenSweat,891200140,vay150
54,Mommy,889111871,Erin
55,Subatomos,887909766,Baka
56,Ambition,886947594,H 狐
57,Dusk,886400353,Nova
58,VnSharing,885291131,Artorias
59,Mist,884921199,Nub
60,Sanc,883886326,iansky
61,Superbia,883457282,Dawn
62,Maple Tree,883059928,Maddie
63,WolKnights,877275105,czu0delta
64,Waifufans3,873750450,Homie
65,Re:Zero,873295898,Gawr Guram
66,VersyCult,873245780,☆Versatile
67,Ganbatte!,873200133,Akram
68,SunShineVN,869816782,shirod
69,Gomen YUI,869677981,Nanashi
70,Waifufans2,869127008,Adrien
71,Kyaruland,867965784,hori
72,Hoji,866375875, Cheese
73,Tsuki,864223236,Yuuki
74,Tojo Clan,861514880,lemonguy
75,Prismatic,860134260,Yousomaru
76,EQX Noon,859310452,JacobGP
77,EQX Dawn,858941679,Less
78,BoarHat,851883884,Maximus
79,NicoNico,850193438,wham
80,4clan,849453074,Spaerk
81,WeHateNph,849170919,Nephria
82,Nobility,848437718,sojaes
83,Geese,848067137,Inaaa
84,YabaiYabai,846528564,Kraylore
85,Moonlight,845243701,Canioden
86,Epiphyllum,844811516,Abister
87,ClanPotato,843050053,Sheiter
88,Weebs Out,842875895,Ame
89,JoJoBase,842698871,Janember
90,CunnyInc.,842199990,Luciana
91,Re:Roll,841758463,Marchez
92,Fate,841104328,Ruka
