Rank,Clan Name,Score,Leader Name
1,のです Void,1077385062,Phoenix~
2,メガ MILKERS,1060086764,Ding Doung
3,Ethereal,1059714388,Pang
4,ArisaCult,1058730405,Halcyon
5,KannaCult,1052663808,TearGrants
6,Sorry Valk,1050630595,Miyuki
7,FuwaFuwa,1050078365,Chiyo
8,Weepo,1043894525,peng
9,Imanity,1039185173,Yon
10,SarenCult,1037702208,☆ Huggy
11,Eriko Cult,1036770372,Umaru
12,DC3PO,1035191294,LeonidasII
13,Washed,1016666018,宝鐘マリン ☆
14,minna ty<3,1010870153,Tomo
15,Haunted,973897701,Venom
16,The Mist海霧,970966932,Mumu
17,WeLoveTim2,968297121,Serecola
18,YukariCult,967634357,J-Klump
19,Schwarz,966241205,Poke
20,WeLoveTim6,964418533,Kitten☆
21,AEGISEoG,964271634,Racter
22,Falkonne,963891101,Sparrow 狐
23,CafeQuanta,963344855,Ghiradell
24,Eternum,962310260,Jester
25,Royalty,961981860,Ashevish~
26,Luxvidia,958564155,Leisten
27,Re:tired,958052830,Mars°
28,WeLoveTim3,954954351,vx
29,MQH,952901505,Ace
30,Neko Nyaan,949738159,Sashandra
31,PecoCult,943149397,Lino
32,Eclair,937955947,Zeftyy
33,WeLoveTim,935793678,Zyf
34,WeLoveTim4,933154759,DaVinci
35,kusa boys,932023708,TFG
36,WeLoveTim5,931429659,Ω Shiraori
37,Salivation,931167541,Muse
38,Realm,929026117,Aku
39,Ever Tale,921222324,Tear
40,AtelierCT,920144883,Kurogane
41,「Onigiri」,918414712,Nyan'sKid
42,Zero,915488775,Asariel
43,Midnight 2,905735313,Chio
44,Waifufans,903089823,elmoebuta
45,日本酒,901666943,臥室裡的琉璃在打炮
46,Midnight,901034762,Shiroe
47,Stealers,900039558,narzack~
48,Wicked Fox,897741245,Xhian
49,EoS,897305159,Raven
50,BebekBakar,897012045,BB｜anzai
51,Ignoto,890464854,JSar
52,Origin,888604126,TS
53,ClubCosmos,887618366,Rimuru
54,VnSharing,887079104,Artorias
55,TsunTsun,882769179,Omonomous
56,Nousagis,880004347,Renne
57,France,877316987,Nomis
58,Mist,872576852,Nub
59,Kokko Club,868526571,Rasec
60,Blush,868448110,Sam
61,Maple Tree,866103535,Maddie
62,Gomen YUI,854213467,Nanashi
63,Mafty,853252517,Erin
64,UragiriCat,850815420,Perruno
65,Life Raft,850577790,AuraFly
66,Abyss,850516168,NysAshura
67,PrincessLa,848800398,Peloncho
68,EQX Noon,847933204,JacobGP
69,Fate,846077813,Kyo
70,WeHateNph,843070194,Npheria
71,Excedia,833826984,Dawn
72,Femboys,830663346,Mega Milk
73,Subatomos,825776700,Baka
74,Akukin,825412645,MadHatter
75,Dewar,824584793,Deecato
76,Kyaruland,822183397,hori
77,Setoukai,818029765,Nagi
78,Prismatic,817387232,Yousomaru
79,Shrimp.exe,815449370,Avaradus
80,Tojo Clan,811665318,lemonguy
81,Waifufans2,811361829,Adrien
82,AvgD,810765413,Knife
83,Kai Zen,810262803,HafaraSama
84,Sanc,809607509,iansky
85,Vroom,809083449,Chie
86,Re:Zero,808685767,ラム
87,TheOffice,808383997,Hollocho
88,BoarHat,805065146,Maximus
89,Spatzele,801539879,Inaaa
90,Ambition,800502008,H 狐
91,Weebs Out,799704353,Ame
92,Hoji,799166224, Cheese
93,dropkick,799107488,CarlWheezr
94,Pokkake,797929729,Apphole
95,EQX Dawn,797353907,Less
96,Feather,796214606,Dust
97,Awaken,795726983,riripwn
98,Re:Roll,795478125,Marchez
99,SunShineVN,794619313,shirod
100,Symphonia,794319996,paoh
101,Radiance,794006541,Osmium
102,4clan,793512422,Spaerk
103,Tsuki,792817832,Yuuki
104,MapleTree,792068889,Eternalis
105,The Empire,792017262,Prismal
106,Hololive,791464931,Pekora
107,Depressed,790731905,qq
108,WolKnights,790631979,czu0delta
109,Dreamer VN,790568304,Blue Tears
110,YabaiYabai,790398877,Kraylore
111,bonboncult,789370876,not atk me
112,HoloMyth,789334095,SkyDragger
113,Flandore,788874764,LenXca
114,Neko Cafe,787960536,Wizi
115,L.G.D,786879522,Kenji
116,7 Clowns,786847372,Cantabrum 
117,Owoboros,786653562,IndSek
118,NicoNico,785738777,wham
119,Yum,785688034,Mochi
120,Fantasy,785493028,Kan
121,Fox Sins,784825008,Jalonsof
122,Mythical★,784070910,ECHO
123,Pandaverse,782124635,Sirson
124,Ganbatte!,781638119,Akram
125,JoJoBase,780395630,Janember
126,ClanPotato,780188916,Sheiter
127,Kaiba Corp,780123670,Monoultra
128,Misters,779921125,Spagoots
129,Ellinia,778070768,wutty
130,Light☆EMT,777560960,Zenovyx
131,Milktea,777272147,Rie
132,PekoMiko,776872990,Gellal
133,StealJewel,776556927,Naniiiii
134,Waifufans3,776513224,Homie
135,HsHome,776373307,Nanicorenu
136,Anbu,773394448,Keiichi
137,Tea Party,772382212,Rudeus
138,0x0,772024809,Red
139,Downtown,771247772,Fal
140,夜明け,768831861,Tsuki
141,Akari Cult,768500029,LuismyP
142,Omnia,767012424,Riaky
143,Bakuhatsu,766212456,Megumin
144,FBIOpenUp,764923765,pipo
145,Fenrir,763694425,Kamehameha
146,Niflheim,763121607,Xian
147,Moonlight,763045228,Canioden
148,Kujira,762552030,Yukkiko
149,tit good,762183730,Sera
150,CunnyInc.,762145080,Luciana
151,MapleTree,761853453,Millhiore
152,TheMunchys,759940321,Yhit
153,Uncharted,759054021,Another
154,LostCause,756307911,PimekS
155,KENUM ,755420004,マスター
156,GrandOrder,755367557,Satoshi
157,1+1=3,754367375,Keelus
158,Nobility,753668330,sojaes
