Rank,Clan Name,Score,Leader Name
1,Scarlet,623312358,Djk
2,Weepo,615447875,Neptune
3,Sky,606037981,Houshou☆
4,KannaCult,596446382,TearGrants
5,Valk,592369586,Jung
6,Ethereal,587628308,Pang
7,SarenCult,584997927,HuggyF2p
8,Sweatshop,583875873,Phoenix
9,Beepo 2930,577629496,SmolSproot
10,Bracers,576525123,Krizz
11,FuwaFuwa,574488691,Chiyo
12,MegaMilk,573785182,baeck
13,Nice 1 CR,566297157,Miyuki
14,EoS,565378034,EDM-BANGER
15,Imanity,560277597,Yon
16,DankSoul,560258352,DankSimp
17,EmBoomedUs,559946306,Eggplant
18,29/30,551683860,Jester
19,Yuibats,551533669,Tomo
20,AEGIS,546506324,Racter
21,Dream,542361867,Kymori
22,Haunted,539109801,Venom
23,Invidia,538691903,Rong
24,Neko Nyaan,537944735,Sashandra
25,The Mist海霧,536111662,Muai
26,We Auto CB,534202989,Zyf
27,Eden,528418208,MSTKid
28,AkaiHaato,528162811,eLeVeN☆
29,栄 INVERSE,526582695,Comfy
30,Re:wind,526436591,Stagul
31,Ghosts,524781701,Lino
32,Night Owls,523953618,Zennou
33,2DThighs,521785824,Balmy
34,28/30,520985560,Kishi-kun
35,Fukano,520188385,Golem
36,CafeQuanta,518238379,Gyarudell
37,Nightmare,516292314,Asariel
38,「Onigiri」,516079854,Nyandehyde
39,Salivation,515797691,Muse
40,Eclair,513763735,Zeftyy
41,Ever Tale,511386823,Tear
42,Wu,505852645,Borkono
43,Prismatic,505804156,Yousomaru
44,4DThighs,503241292,Dalamar
45,MQH,501999486,Ace
46,WE AUTOCB2,497795271,Serecola
47,We AUTOCB3,496600017,Ekzann
48,Wicked Fox,493812323,Foxy
49,Weebs Out,491775383,Rexxa
50,Royalty,491740958,Ashevish
51,Kenjataimu,491553786,Kenja
52,Pierrot,490373544,Frozy
53,Origin,487647097,Sinzari
54,Elegy,486806511,Fuuze
55,France,484575474,Nomis
56,Forced2pay,484285312,Mister
57,Realm,480943991,Aku
58,Midnight 3,478274847,JS
59,Solace,476476381,Versatile
60,WolKnights,476062299,Kaia
61,VnSharing,469224491,Artorias
62,Kokko Club,469108470,Rasec
63,Re:Roll,467896805,Marchez
64,4clan,463006068,Spaerk
65,Fate,461189373,Kyo
66,BoarHat,460666015,Tendou 
67,Sent,459423313,SentryCore
68,Ignoto,457130941,JSar
69,Waifufans,456817943,elmoebuta
70,Uncharted,456550608,Another
71,Nousagis,455972870,Renne
72,Kyaruland,455125798,hori
73,戦 Weebs,454939161,琉璃 × 霞没穿下身
74,Maple Tree,454370266,Maple
75,ArchZero,453923537,Rimuru
76,Abyss,450801767,NysAshura
77,AvgD,450089068,Ted
78,Ambition,445832191,Ichi
79,Downone,445113668,Fal
80,Eclipse,443705388,Wolf
81,ネINVERSE ■,441801550,Poke
82,PekoMiko,440810194,Gellal
83,Pekoland,440556641,b0ss°
84,Fantasy,440408913,Kan
85,Sanc,440267693,iansky
86,19700101,439538200,Phoenix
87,Wyvern 13,437925270,SeulRay
88,Tsuki,437355952,Yuuki
89,Weebs,436384922,Fushi 
90,Vroom,436285135,Chie
91,ACT,435233287,Arukate
92,TheOffice,434694341,Hollocho
93,Gomen YUI,432353241,Nanashi
94,ShadowIsle,431735796,Npheria
95,TsunTsun,430651418,Omonomous
96,KoA,430648362,Joeyy
97,Dai Shouri,428203964,Kaneh
98,HoloMyth,426182064,SkyDragger
99,Blush,426174682,Sam
100,Hatdog,425348173,Missa
101,Yum,424270986,Jennasaur
102,Ellinia,423575427,wutty
103,NamePendin,421912538,pipo
104,YabaiYabai,421754262,Kraylore
105,Misters,421341725,Spagoots
106,Re:Salt,421111148,Ezo
107,Mystic,420647465,OmiD
108,Hoji,420555917, Cheese
109,1+1=3,420411554,Keelus
110,Wolhaksong,419986707,RFK
111,Feather,419799322,Dust
112,Akari Cult,419412586,LuismyP
113,Mythical★,419024716,Echo
114,ClanPotato,418857010,Sheiter
115,7 Crowns,418528469,Cantabrum 
116,Aegis ,418275731,TRS
117,Kaiba Corp,418152448,Monoultra
118,Re:Zero,417873632,ram
119,Hestia,417811525,Valdis
120,WhySoToxic,417098828,Bitdragon
121,Re:Run,416410279,Anfanger
122,Pandaverse,416160412,Sirson
123,Mongrels,415760445,Shark
124,Awaken,414942985,riripwn
125,Lunarian,413958160,Kano
126,Akukin,413685952,MadHatter
127,Enmity,412622878,Zenovyx
128,Waifu Army,412011040,Dalamar
129,Pain Peko,411519973,Ascho
130,L.G.D,411089853,Kal’tsit
131,Hololive,411084841,Pekora
132,Goats,411002652,Rengeki
133,France:Re,410375785,Hikyon
134,Life Raft,410179239,AuraFly
135,kusa boys,410176125,TFG
136,BDELlama,409461851,Merc
137,PekoPeko,409390311,OmniRaka
138,Anbu,409315637,Keiichi
139,Dreamer VN,409015898,Derumu
140,UragiriCat,408277593,Azhriel
141,Princessla,408007937,Peloncho
142,KENUM ,407186517,マスター
143,UwUGirls,406893628,Joey
144,夜明け,406658942,Tsuki
145,NicoNico,406427190,wham
146,BebekBakar,406326523,BB｜anzai
147,Spatzele,405934947,Rena
148,WHSAcademy,405673636,Metastone
149,Kodama,404145127,Sudokukai
150,Mist,403934548,Nub
151,Neko Cafe,403933591,Wizi
152,Boba,403285551,deebee
153,KururinPan,403201784,HYPE
154,Waifu Meta,402255485,ムーギリ
155,Fox Titans,400241782,Berto
156,Kujira,398337717,Yukkiko
157,Fox Sins,398175415,Jalonsof
158,whakak,396891751,kimpleh
159,Paper Moon,396457374,LustJaw
160,Hikari Zen,395716675,HafaraSama
161,Hikari,394735269,Mingui
162,GrandOrder,393586497,Satoshi
163,Waifufans2,392496632,Adrien
164,Vanished,391742387,VA Tragedy
165,Setoukai,390785965,Yumenano
166,IMAGINE,389827721,sleepyhead
167,戦 Evolve,389460556,Aoimiruki
168,MapleTree,388176281,Millhiore
169,☆BAKATARE☆,384781004,Kafuno
170,Bakuhatsu,384166628,Megumin
171,VG-MightSC,383248852,Malv
172,Creamation,382765380,Yuuki
173,Marigold,379448135,min (ミン)
174,Ka Boom!!,378830426,Boomking
175,Moonlight,375536215,Farnlock
176,Hepburn,373341372,Batata
177,Niflheim,372728206,Xian
178,Sritter,371311740,BishA
179,Fenrir,370119054,Kurikari
180,MapleTree,369447125,Eternalis
181,ChainX,369371149,SakLite
182,SevenGates,369018412,7G☆Ging★
183,Clown Town,368960564,Osmium
184,Subatomos,368239626,Baka
185,Flandore,366821301,LenXca
186,DereDere,365819755,Yuuki
187,Chupacabra,365098397,Alastor
188,Moonlight,364770365,Canioden
189,CunnyInc.,363085784,Luciana
190,Omnia,362134411,Riaky
191,PAN,360909314,Alonso
192,Milktea,360742133,Rie
193,PecoLewds,358128350,SarenMama
194,Tea Party,356827329,Rudeus
195,Luxuria,355722197,Modern
196,HsHome,355084877,Nanicorenu
197,PinoyPride,353938317,Hylion
198,CBT Gang,353061789,NanoA
199,The Empire,352819961,Prismal ★
200,Cryolyte,352463793,Enviar
201,Starfall,351102901,Motoko
202,DNight Sky,350808489,Yuuki
203,Takopa,350250039,AkitoEX
204,Dewar,350108520,FearK
205,Heavenhold,347762882,Potatowo
206,Waifuverse,345640343,Demolition
207,Attic,345242145,PoorNic
208,Painters,345021594,Yers
209,Black Cat,344955952,Chris
210,Valhalla,344464364,Russell
211,夢スター,343979821,ｘｉｎｙａｎ
212,MilkGod,343507704,WaffleIron
213,Handfuls ,343184826,sey
214,TheMunchys,341364935,iDomo
215,Origami,340597582,Soldeum
216,Shibanban,340010388,Twick
217,Hebe Hill,339717285,Rosey
218,CCB,339107020,Shiina25
219,Genocide,336910525,Genei旅団
220,BGG,336809040,SpokBlok
221,Tojo Clan,336413527,lemonguy
222,4ntureplay,335991988,KupFPS
223,KyaruTail,335678989,バコネーター
224,Korone,335642436,Anri
225,O x O,335584851,Dawn
226,JKA Dawn,335394529,Juanchi
227,Space,334170022,Elatha
228,Peco'sPeco,334078401,めんたいこ
229,Pricunny,333930559,ChaiRaba
230,PandaClub,333561726,Gillian
231,Specialist,333494003,Frost
232,Solstice ,332819308,Yuu
233,Waifu4Laif,332489612,kyo
234,Lionheart,332011137,Fox
235,TotoroCafe,331988066,NarutoC
236,RED,331686501,Enne
237,uwumetic,331584270,Hakeru
238,月夜の黒猫,331517821,Sachi
239,DLC CAFE,330903551,Lee
240,LATIN@S,330845096,SpaceFang 
241,Kanso,330244466,Pinecone
242,De'Empire,329935352,De'ar God
243,Hololive,329905281,4649
244,Pokkake,329336865,Apphole
245,Illuminati,328523847,Lucciana
246,Tea,328038988,Tea
247,Primrose,327880764,Palette
248,Simp City,327771189,Yasakura 
249,NO RESIN,327127952,PohonSange
250,Astoria,326968161,Shifune
251,Amber 火,326632595,Yajirushi
252,Paladin,326487265,Yuukimura
253,Snowflakes,326222623,Woobles
254,梦NIGHTMARE,326087245,Yan-chan
255,Skyfarers,325971492,Iverna
256,tit good,325429678,Sera
257,美食殿,325173639,ユウキ
258,Ita-Legend,325132610,Calle91
259,Mondstadt,325073125,Agus
260,Nslb,324802882,Sabian
261,<Baneados>,324462442,Luphelion
262,Ahjin,324268059,Spidre
263,MajinGods,323453348,Loliseo
264,FuG,323243941,Turtle
265,MeatIsGod,323176531,Kaito
266,Aki Kouhai,323014824,Hazeru
267,EOE,322886879,Oani
268,KASKUS,322054672,zer0
269,JKA Sunset,321879753,KanonHeart
270,Lichyard,321851685,Xero
271,Truckkun,321589413,Chinen
272,Enet,321472241,Zeal
273,DHARK,320951820,サカト
274,D'arkWorld,320821151,DivineReji
275,Durian,320629267,Magicmiget
276,Shrimp.exe,320461504,Avaradus
277,Exodus,319639970,AngelVOC
278,Re:Hold,319427164,WolfeK
279,FTQ,319243519,Altriaki
280,Ascension,318713237,Lunaris
281,SleepyMats,318457926,Kareef
282,Reminence,318404547,Yumenano
283,Doge,318379274,Konpeko
284,Rem Lovers,317810601,in0x
285,Hatsu☆mimi,316071667,Natsumi
286,Mofu Mofu,315807213,Expe
287,Teh Slax,315758632,Pufftrees
288,Friends,315742505,Alban
289,LostCause,315639397,PimekS
290,SoCal,314899956,E30
291,Shikigami,314707766,Nico
292,Hotglue,314448954,Gene
293,RIPnoLUCK,314120152,■
294,RE:,313559183,Mar
295,Peanut,312687323,Furotsu
296,Taikonnect,312363399,Kaem
297,Gignomai,312266399,はじめ
298,Enmity II,312158916,Alice
299,EX:Brave,310375832,Noxte
300,LilyPog,309758421,kowze
301,Pay2Waifu,309708416,Dano
302,Mechafe,308529842,Mechaf
303,ISEKAI V,308298372,Episode
304,S. Kinshi,308118568,Akio
305,Starfall N,307636998,Megumin
306,Kali,307130319,Tiir
307,BattleBuds,306775566,Fancy
308,Korosters,306701350,Saaya
309,Cafe Kani,306693890,Eilthis
310,WeebLounge,306538283,Division
311,Maidos,305235388,Ocifer
312,dark gang ,304195902,Darich
313,K.F.P,303817691,Utoko■
314,Haru Haven,303283580,Guisterix
315,Ganbatte!,303162859,space
316,C I I C,302757954,Lazurak
317,Superior,301832941,MrSalt
318,Sweatshop,301765189,kbh
319,Matcha,301716095,Byrat
320,Pleiades,300781295,Kuro
321,JKA Noon,300377791,JacobGP
322,Pancake,300238296,Elynna
323,Salamander,299326081,Butterfly
324,0x0,298247327,Red
325,Puzzles,296887746,Valldor
326,TeaParty,296763321,Sehesael
327,Paws,296313385,Acrzyguy
328,ZeeebFam,295703889,Hordian
329,Kappa Clan,295444658,Poggers
330,ChaoGarden,295416505,Penn
331,Clan CDF,295176023,Riyria
332,ShirouArmy,294755066,W
333,SOSBrigade,291378303,NovaKing
334,Winx Club,291337694,manaketez
335,Choten,290180238,Tachibana
336,ホタル,290106027,Graape
337,BLANKET,289864044,Dyrnwyn
338,Solace,288511588,Tel
339,Heaven,288463181,Soun
340,Purgatory,288242566,xAkre
341,One More!,288055895,ajbob
342,Euphoria,287906078,who's rem
343,Union,287014865,Exemplar
344,WorldOrder,286747232,EternalGod
345,ProtecMaho,286032674,Yuu
346,Elfera,285721415,Weaver
347,Traverse,285189537,Sai
348,Gamer 会,284881623,Gordon
349,ハーレム王,284396825,クレオラ
350,Arcadia,283935332,Tadders
351,NeropolisA,283560407,SerackSK
352,YUI LOVE!,282490956,(Dead)ki
353,Loona,281516639,Gowon
354,GawrGuraHQ,281136575,Kittens
355,DLWarriors,280741585,GamRHero95
356,GodsArmy,280073428,Manny
357,Only Flan,279601354,Xion
358,AinSophAur,279306359,WibuAlter
359,Kokkonuts,279093152,MadeToMaid
360,Waifufans3,278513357,Homie
361,MrStroking,278400102,Arap Petra
362,nyab,277911556,Dangergun
363,TinyHerb,277531153,Rain
364,Luminera,276533392,AakBamba
365,Lucina,276446015,Ferris
366,Moon Tree,275963066,Rakuda
367,Slimearuji,273105496,Renleve
368,Gourmet,272999666,Nguyen
369,PRZK,272438760,Ozrealix
370,Hololive,272219353,ティーザー
371,DarkStrayX,272123831,Vayne
372,HololiveEN,271213378,Alexsu
373,F2PBTW,271047932,Megazers
374,INDONESIAN,271021137,ASHRAFF_
375,Flashlight,269863197,Piixers
376,PriNewYear,269147130,Yuute
377,JoJoBase,268807636,Janember
378,Waffles,268630332,Puddin
379,UNIQLO!,268200408,WAOW!
380,Pleiades,267564699,Hika
381,Fatkb,266975043,Zerukun
382,TakeItEasy,266679030,redo
383,ThiccHeart,266148373,Makoto
384,進撃のpepegas,265771161,Hanamura
385,Yuru Camp,265687007,Karoshi
386,Exyph,265479219,Shiki
387,HololiveLA,264971044,Kampunk
388,Biddies,264468646,Lulu
389,HAACHAMA,264354167,DarK
390,Delicious!,264029557,Kujikawa
391,Yabai Desu,262481878,Feny
392,Dorime,262461650,Gerdo
393,Bread Gang,261384135,Harzgard
394,Arknights,261043566,HungryMe
395,Pecobob HQ,260871191,Mym Plush
396,★★★HH★★★,259617114,Hygurozuto
397,PotumParty,257228168,Meow
398,Veterans,256595340,Xealox
399,Wings INC.,256246227,wingstop
400,セラー,255820132,dandelyn
401,Tryhard,255613010,Hanashee
402,ViViVi,255534314,gowoon
403,PriconneID,255409133,AkibaSouta
404,OJISAN,255081477,Jubei-chan
405,Anubis,253061536,Jrizzle
406,XCMoogles,251752019,Rald
407,Summer,251590694,Ziltoid
408,Bullies,251457147,sevi
409,AmeliaHQ,250363003,Loli Lime
410,Mugae,250294581,ShinoTomoe
411,NORTHWILDS,249975329,RYUGANorth
412,TWPOK,249841721,Mocha
413,Nublets,249617227,nicoo
414,7thElement,249332288,Kaden
415,Thigh Men,249179427,Mico
416,Mekakucity,249160865,Shintaro
417,Valhalla,248329336,Hysterrria
418,Steve Club,248306035,Reikyu
419,Soft,248247321,Pikadrew
420,Garuda,247984210,BeingX
421,Asakusa,247009138,Sol
