Rank,Clan Name,Score,Leader Name
1,MimiVision,766521165,Houshou☆
2,KannaCult,754410674,TearGrants
3,Ethereal,746931553,Pang
4,Sweatshop,744954712,Phoenix
5,SarintCult,744083953,HuggyF2p
6,WeepyInted,741921862,Umaru
7,Brickers,741437743,Krizz
8,Oasint,741347379,Miyuki
9,Yuibricks,740142393,Tomo
10,Scarlet,739719165,Djk
11,Weepo,739400118,peng
12,Imanity,730047017,Yon
13,Beepo,722276615,thief
14,MegaMint,718203679,baeck
15,Eternum,706789882,Jester
16,IntClub,705495074,MrWolf
17,The Mist海霧,703940247,Muai
18,We:int,699743855,Mars
19,Carnage,698804922,11
20,Haunted,698257777,Venom
21,Ghosts,697596015,Lino
22,EoS,696187263,Raven
23,DankSoul,692968031,Nervus
24,Intvidia,690954763,Ring
25,Fukano,689378077,Golem
26,WE AUTOCB2,689137251,Serecola
27,We AUTOCB3,686866923,Ekzann
28,CafeQuanta,685621606,Ghiradell
29,VG-MightS,685386148,Kishi-kun
30,We Auto CB,684917975,Zyf
31,FuwaFuwa,684122128,Chiyo
32,Night Owls,683175872,Zennou
33,Neko Nyaan,674685674,Sashandra
34,Ace Fans,674323320,Ace
35,WE AUTOCB4,671361508,Lovely
36,AEGIS,667600118,Racter
37,「Onigiri」,666074710,Nyan'sKid
38,Royalty,659841688,Ashevish
39,日本酒,648743796,臥室裡的琉璃在打炮
40,Eclair,645224487,Zeftyy
41,Ever Tale,643731550,Tear
42,We AutoCB5,643461111,Phoenix
43,Zero,642785791,Asariel
44,Wu,642705784,=mio=
45,Salivation,641762286,Muse
46,Prismatic,641257116,Yousomaru
47,Midnight,637011568,Dalamar
48,Kenjataimu,634537539,Kitten☆
49,Ignoto,632401404,JSar
50,Weebs Out,632277846,Rexxa
51,Wicked Fox,632142210,Foxy
52,Realm,630445196,Aku
53,Eden,630064709,MSTKid
54,Origin,624140687,TS
55,France,624124553,Nomis
56,Waifufans,617430108,elmoebuta
57,TsunTsun,614786246,Omonomous
58,Solace,613593231,Losara
59,VnSharing,611808310,Artorias
60,Eclipse,610487660,Wolf
61,ArchZero,605152540,Rimuru
62,Kokko Club,604099774,Rasec
63,Sent,604066392,SentryCore
64,WeHateNph,602111536,Npheria
65,Abyss,596129568,NysAshura
66,Mist,591423150,Nub
67,Fate,587176970,Kyo
68,Maple Tree,586495256,Maple
69,PrincessLa,582537053,Peloncho
70,Re:Roll,582145549,ckrash
71,Pain Peko,577243696,Ascho
72,Nousagis,575997284,Renne
73,BoarHat,575503895,Tendou 
74,4clan,574752153,Spaerk
75,Luxuria,573992989,Leisten
76,Blush,573587116,Sam
77,WolKnights,573413154,Kaia
78,Akukin,573075812,MadHatter
79,Tentaclan,571669224,Sunkaze
80,kusa boys,570334701,TFG
81,AtelierCT,569673131,Kurogane
82,TheOffice,568820584,Hollocho
83,Ambition,564799792,Ichi
84,Life Raft,563819177,AuraFly
85,Uncharted,562415550,Another
86,Weebs,561901217,Fushi 
87,Vroom,561410522,Chie
88,AvgD,560956675,Ted
89,Fox Titans,556208736,Berto
90,Kyaruland,555884805,hori
91,UwUGirls,554714728,Joey
92,Tsuki,554087285,Yuuki
93,Wyvern 13,553908586,SeulRay
94,夢スター,553715775,悪夢スター
95,HoloMyth,552258814,SkyDragger
96,Kaiba Corp,550848519,Monoultra
97,Kujira,550192039,Yukkiko
98,Akari Cult,549969715,LuismyP
99,Feather,549624982,Dust
100,Downbad,549524816,Fal
101,Light☆EMT,548529311,Zenovyx
102,Sanc,547779377,iansky
103,Neko Cafe,546842560,Wizi
104,戦 Evolve,546033159,Aoimiruki
105,Hololive,545172401,Pekora
106,Waifufans2,544842783,Adrien
107,Hatdog,544070045,Missa
108,Gomen YUI,544044418,Nanashi
109,NicoNico,543330408,wham
110,Melon パン,543168537,Shark
111,Forced2pay,542982793,Mister
112,Misters,542218853,Spagoots
113,PekoMiko,541989025,Gellal
114,Awaken,541310475,riripwn
115,YabaiYabai,540292951,Kraylore
116,Ganbatte!,537658194,Akram
117,夜明け,534123739,Tsuki
118,1+1=3,534001779,Keelus
119,Waifu Meta,533717168,ムーギリ
120,BGG,532738099,SpokBlok
121,7 Clowns,532299056,Cantabrum 
122,Yum,531779623,Mochi
123,VG-MightSC,531742586,Malv
124,Niflheim,531389596,Xian
125,Fantasy,530865514,Kan
126,BebekBakar,530400111,BB｜anzai
127,Fox Sins,529709621,arnaull06
128,EQX Dawn,529419617,Juanchi
129,Hoji,529362658, Cheese
130,Re:Salt,529216528,Ezo
131,FBIOpenUp,529148958,pipo
132,ClanPotato,528903057,Sheiter
133,MapleTree,527777181,Eternalis
134,Kai Zen,527526432,HafaraSama
135,Midnight 2,527406140,おにちゃん
136,Boba,527035650,deebee
137,Pandaverse,525787017,Sirson
138,UragiriCat,524870220,Azhriel
139,Re:Zero,523473323,ram
140,IMAGINE,522958436,sleepyhead
141,Flandore,522513770,LenXca
142,Sritter,522212107,BishA
143,Setoukai,521831113,Yumenano
144,L.G.D,521490145,Kal’tsit
145,Anbu,521439752,Keiichi
146,Aegis ,521163815,Jasawn
147,Omnia,520940421,Riaky
148,GrandOrder,519169012,Satoshi
149,DereDere,518577879,Yuuki(D)
150,Hepburn,518562853,Daigo††
151,AoiAoi,518536873,OmniRaka
152,Subatomos,518438987,Baka
153,Hestia,517136335,Maven
154,Mythical★,516322925,Echo
155,WHSAcademy,515296228,Metastone
156,Spatzele,515020751,Rena
157,Hikari,512949640,Mingui
158,ネINVERSE ■,510612044,Reimu
159,France:Re,510338714,リヂウクス
160,Dewar,509028667,Deecato
161,KENUM ,508323009,マスター
162,Mystic,507864530,OmiD
163,Ellinia,507798244,wutty
164,Mudamaid,505909588,Benedetta
165,Milktea,505061449,Rie
166,CunnyInc.,503135522,Luciana
167,KururinPan,503036785,HYPE
168,Tojo Clan,503012641,lemonguy
169,Ka Boom!!,501021787,Boomking
170,Goats,498769487,Viscule
171,Nobility,498416432,seajos
172,Ouroboros,497132540,Tona
173,Creamation,495997500,Yuuki
174,Bakuhatsu,494908138,Megumin
175,PecoLewds,491560370,SarenMama
176,Shibanban,490948974,Twick
177,Dreamer VN,490166944,Derumu
178,0x0,489611625,Red
179,Sweatshop,488694347,kbh
180,Shikigami,488333030,Nico
181,PinoyPride,486641936,カレイド
182,TheMunchys,486581839,iDomo
183,MapleTree,486179084,Millhiore
184,Fenrir,483013869,Kurikari
185,Radiance,477477563,Osmium
186,Moonlight,476547765,Canioden
187,Tea Party,476537297,Rudeus
188,Mondstadt,475269073,Agus
189,Skyfarers,474491477,Iverna
190,Amber 火,473209583,Yajirushi
191,PAN,472370273,Alonso
192,Lichyard,470385561,Xero
193,SunShineVN,468893184,shirod
194,EQX Noon,467092698,JacobGP
195,Space,466791098,Elatha
196,DLC CAFE,466475787,Lee
197,Cryolyte,466102240,Enviar
198,EQX Sunset,465920078,KanonHeart
199,LATIN@S,465242842,ll Zero ll
200,SevenGates,464763927,7G☆Ging★
201,The Empire,463756231,Prismal ★
202,O x O,462800134,Dawn
203,Moontights,461922008,Farnlock
204,Pokkake,461686500,Apphole
205,Chupacabra,461642110,Alastor
206,Shrimp.exe,460904291,Avaradus
207,Lunarian,459267063,Kano
208,Origami,458657081,Soldeum
209,梦NIGHTMARE,457220030,Yan-chan
210,Attic,455923213,PoorNic
211,HsHome,454834571,Nanicorenu
212,Snowflakes,452925731,Woobles
213,Hebe Hill,452569375,Dylan
214,Aki Kouhai,452327450,Hazeru
215,Pleiades,451980970,Hika
216,FTQ,451392326,Altriaki
217,Takopa,451286058,AkitoEX
218,Black Cat,450875984,Chris
219,Mofu Mofu,450058575,Expe
220,ChainX,449164541,SakLite
221,SleepyMats,448928322,Kareef
222,Korone,448782109,Anri
223,Simp City,448744234,Yasakura 
224,nyab,447958364,Dangergun
